exchange,t_stat,t_pval,ks_stat,ks_pval,alpha,total_trades
oceanex,2.495505231326048,0.02388922910442085,0.9977567692767957,0.0,-3.0283220572197496,659540.0
probit,2.188073083758885,0.04384807741010562,0.9743458152178726,0.0,-2.2750119387146484,4499488.0
bitstamp,1.5626912941133515,0.137685715587982,0.4656373965153834,0.0,-0.9625843730900251,327472.0
coinbase,1.048489521618346,0.3099938052974216,0.23008822423956815,0.0,-0.8463122897114793,9416241.0
cryptocom,1.011736440889765,0.3267204874381111,0.32201738755224785,0.0,-1.0422657221638412,89861854.0
exmo,0.9848137846977947,0.33937456721013604,0.20608778250887058,0.0,-0.8386265663449634,3200605.0
bybit,0.8585743128715346,0.4032549098312914,0.34386408796994516,0.0,-1.0255491411280484,288198035.0
binance,0.7873247788458373,0.44259924871023826,0.6554497942903643,0.0,-1.6680712334201175,297642093.0
btcturk,0.7839172006656129,0.4445396093265025,0.5384870069173904,0.0,-0.9990964533420356,658396.0
bitmex,0.7702823198962439,0.45235672182636977,0.8683761114155513,0.0,-2.933709279431947,223289.0
tokocrypto,0.6920341016865815,0.49883652652872623,0.8936125314102924,0.0,-2.463288853038439,450533692.0
coinsph,0.691970986366688,0.49887511260941886,,,,1563154.0
bitget,0.6664545755867329,0.5146164100509595,0.4346267571735607,0.0,-1.152040000022733,79424914.0
digifinex,0.6594243796973697,0.5190026745711955,0.8099213788808859,0.0,-1.3590737856832225,107812739.0
kraken,0.6554660683381545,0.5214816203315278,0.9136593675980588,0.0,-1.3088699106082082,2585144.0
upbit,0.6392214403870302,0.5317246063966339,0.8441729690535547,0.0,-1.3116121285307196,481422.0
gate,0.6116441054757157,0.5493662565194632,0.6188139486424995,0.0,-1.2983674869123407,91066008.0
okx,0.6011452907512466,0.5561648518006117,0.9866482771985826,0.0,-1.8059750016032672,229977575.0
htx,0.5938954357309157,0.5608856914017675,0.9999165538172151,0.0,-2.2494499332279214,129541062.0
bitcoincom,0.4984076364678669,0.6249784066459688,0.5296037727497107,0.0,-1.7865849730453307,1362193.0
bequant,0.4699936923262515,0.6447016979012181,0.566831546537557,0.0,-1.7637345100371533,1464743.0
hitbtc,0.46605410278423703,0.6474585536107267,0.5666164268691785,0.0,-1.763721350826183,1464517.0
fmfwio,0.46448498414348577,0.6485580761927077,0.5669724619434573,0.0,-1.7637879761055666,1464318.0
yobit,0.46403435655112557,0.6488739981973366,0.9744658529746428,0.0,-2.0091084521951785,166636.0
binanceus,0.4271178227485757,0.6749856923241273,0.5292796370985481,0.0,-1.6481146834254787,1293765.0
deribit,0.4024670983866929,0.6926662169208817,0.18018742818124486,0.0,-1.068081978769355,1490325.0
bitfinex,0.3083591842183177,0.7617874296468397,0.9107796074768061,0.0,-1.9477698476652856,6033815.0
bitso,0.22907888667452647,0.8217100980174948,0.9442981949277404,0.0,-1.487934115422422,1019866.0
indodax,0.0817301158533682,0.9358750101038125,0.9503189627220363,0.0,-1.6262299464107948,186826.0
bitrue,0.07237503747250718,0.9432004687452532,0.0617155593252087,0.0,-1.040682163656752,102430592.0
whitebit,0.06930649755505487,0.9456044581166665,0.6042569489667292,0.0,-1.2104705861824525,28013254.0
mexc,0.06299634349572483,0.9505497088751134,0.7178778698758495,0.0,-1.1311658156509303,59937522.0
coincatch,0.03292165804998816,0.974144260616576,0.2222456434871467,0.0,-0.935041565311921,14829729.0
bigone,0.031084748397191,0.9755864093179375,0.5945004299148542,0.0,-1.0548292467735578,12090958.0
lbank,0.02580252645478487,0.9797339252252777,0.4980827515637179,0.0,-1.3199990009026232,42530940.0
latoken,0.016343681508322234,0.987162278327701,0.10174280917640041,0.0,-0.3843256892613655,15670904.0
xt,0.010278640716787359,0.991926047904083,0.2652409947194693,0.0,-1.0774425499391969,32140223.0
coinex,-0.0015453501725102895,0.9987860932428334,0.8404052659703307,0.0,-1.2179851709373968,27708076.0
bingx,-0.005294271415536777,0.9958412515308421,0.40297506189064247,0.0,-0.9835235197176395,63918787.0
poloniex,-0.07561074978742972,0.9406661259845264,0.3810261110199462,0.0,-0.5694727071290974,79221245.0
gemini,-0.33071091328034297,0.7451541010295548,0.9506454600003911,0.0,-1.4470728087878584,145841.0
luno,-0.9319026950905317,0.36523654801477334,0.2776740396985561,0.0,-1.022748368895197,316764.0
