exchange,alpha,status,t_stat,r_squared
latoken,0.2767805176913535,Non-Organic,-1.0697814035225213,0.268743443970196
oceanex,0.34522855241296213,Non-Organic,-0.9197186421292801,0.08529271137238284
whitebit,0.6693889769712377,Non-Organic,-0.6612196583932877,0.9582564314306409
cryptocom,0.900510745126995,Non-Organic,-0.5515673015283428,0.8062044436156537
fmfwio,0.9287046683887402,Non-Organic,-0.6893750832058199,0.9197690122213545
hitbtc,0.9289333128179569,Non-Organic,-0.6894440106213804,0.9199203626146933
bequant,0.9289786978609678,Non-Organic,-0.6892226324686419,0.9199104934441101
bitcoincom,0.9767784558285231,Non-Organic,-0.6888085910604578,0.9133495561139443
bigone,0.9790000955206163,Non-Organic,-0.5485595337476599,0.9955751553516663
bitfinex,1.0801233945186153,Organic (Pareto-Lévy),-0.7948007537043621,0.825834790580169
xt,1.106623849268822,Organic (Pareto-Lévy),-0.47458187586698725,0.9956683279988808
probit,1.1126607948492035,Organic (Pareto-Lévy),-0.7905257573640937,0.8360679611853753
gate,1.120008307110945,Organic (Pareto-Lévy),-0.5815265098390009,0.9823756360087353
kraken,1.1686871392014546,Organic (Pareto-Lévy),-0.5539517652470742,0.9136531853468591
mexc,1.1758079778683077,Organic (Pareto-Lévy),-0.5177704470183059,0.9968298281375059
lbank,1.1826836076676943,Organic (Pareto-Lévy),-0.6178867917033082,0.9951060458645176
bitstamp,1.2333938433232672,Organic (Pareto-Lévy),0.07369137593940452,0.8349776789114782
bitrue,1.2334854402844058,Organic (Pareto-Lévy),-0.3674812875879746,0.9949043929083826
digifinex,1.3481394936188764,Organic (Pareto-Lévy),-0.49745362831112133,0.9879775062931214
okx,1.3701237447289163,Organic (Pareto-Lévy),-0.7422664903179248,0.9645337270491203
binance,1.381836947611942,Organic (Pareto-Lévy),-0.6881119152000281,0.9642865376419502
btcturk,1.3992345963877437,Organic (Pareto-Lévy),-0.1815812313622053,0.8806903665964041
deribit,1.425112887232532,Organic (Pareto-Lévy),-0.25412989578192374,0.9676701269028515
tokocrypto,1.430134627697518,Organic (Pareto-Lévy),-0.8755792904374886,0.9609366757800853
bingx,1.487599896430678,Organic (Pareto-Lévy),-0.42943974028274234,0.9679028946099578
coinex,1.5141804550981783,Organic (Pareto-Lévy),-0.444461700217299,0.9915251428303385
bitmex,1.5574604671581922,Organic (Pareto-Lévy),-0.9197952302337404,0.899983179256386
gemini,1.5627591583945273,Organic (Pareto-Lévy),-0.6199315013949734,0.8878487029551735
bybit,1.5682945019015793,Organic (Pareto-Lévy),-0.12967029808794273,0.9205514684945728
bitget,1.5927329946867688,Organic (Pareto-Lévy),-0.43567371989097214,0.9566286107498153
upbit,1.5968131049629821,Organic (Pareto-Lévy),-0.647180617581529,0.9525661811658355
binanceus,1.6322575291144894,Organic (Pareto-Lévy),-0.6721695589014288,0.947015259931006
htx,1.6357938445934066,Organic (Pareto-Lévy),-0.8057175654364561,0.967704050108823
coinbase,1.650772939623642,Organic (Pareto-Lévy),-0.143719655484032,0.8190221940916048
bitso,1.7509107675489115,Organic (Pareto-Lévy),-0.6823297865698875,0.9416485062956633
indodax,1.7536678716965126,Organic (Pareto-Lévy),-0.6487833479032213,0.9657296859598758
yobit,1.7609423147680667,Organic (Pareto-Lévy),-0.7649568472978071,0.9386445107466769
exmo,1.9892746504259387,Organic (Pareto-Lévy),-0.13419458104837304,0.8092662455547817
coinsph,2.001736098906405,Non-Organic,-0.9908377012353241,0.930070049092551
luno,2.256155729012213,Non-Organic,-0.24887189480620253,0.914610894397278
coincatch,2.926999896103759,Non-Organic,-0.14673111747199039,0.9268883512321463
poloniex,3.216340162925566,Non-Organic,-0.5093916914516579,0.6764314109921212
